,Time,Probs
0,0 days 00:00:00.000000000,0.0
1,0 days 00:01:00.000000000,0.0
2,0 days 00:02:00.000000000,0.0
3,0 days 00:03:00.000000000,0.0
4,0 days 00:04:00.000000000,0.0
5,0 days 00:05:00.000000000,0.0
6,0 days 00:06:00.000000000,0.0
7,0 days 00:07:00.000000000,0.0
8,0 days 00:08:00.000000000,0.0
9,0 days 00:09:00.000000000,0.0
10,0 days 00:10:00.000000000,0.0
11,0 days 00:11:00.000000000,0.0
12,0 days 00:12:00.000000000,0.0
13,0 days 00:13:00.000000000,0.0
14,0 days 00:14:00.000000000,0.0
15,0 days 00:15:00.000000000,0.0
16,0 days 00:16:00.000000000,0.0
17,0 days 00:17:00.000000000,0.0
18,0 days 00:18:00.000000000,0.0
19,0 days 00:19:00.000000000,0.0
20,0 days 00:20:00.000000000,0.0
21,0 days 00:21:00.000000000,0.0
22,0 days 00:22:00.000000000,0.0
23,0 days 00:23:00.000000000,0.0
24,0 days 00:24:00.000000000,0.0
25,0 days 00:25:00.000000000,0.0
26,0 days 00:26:00.000000000,0.0
27,0 days 00:27:00.000000000,0.0
28,0 days 00:28:00.000000000,0.0
29,0 days 00:29:00.000000000,0.0
30,0 days 00:30:00.000000000,0.0
31,0 days 00:31:00.000000000,0.0
32,0 days 00:32:00.000000000,0.0
33,0 days 00:33:00.000000000,0.0
34,0 days 00:34:00.000000000,0.0
35,0 days 00:35:00.000000000,0.0
36,0 days 00:36:00.000000000,0.0
37,0 days 00:37:00.000000000,0.0
38,0 days 00:38:00.000000000,0.0
39,0 days 00:39:00.000000000,0.0
40,0 days 00:40:00.000000000,0.0
41,0 days 00:41:00.000000000,0.0
42,0 days 00:42:00.000000000,0.0
43,0 days 00:43:00.000000000,0.0
44,0 days 00:44:00.000000000,0.0
45,0 days 00:45:00.000000000,0.0
46,0 days 00:46:00.000000000,0.0
47,0 days 00:47:00.000000000,0.0
48,0 days 00:48:00.000000000,0.0
49,0 days 00:49:00.000000000,0.0
50,0 days 00:50:00.000000000,0.0
51,0 days 00:51:00.000000000,0.0
52,0 days 00:52:00.000000000,0.0
53,0 days 00:53:00.000000000,0.0
54,0 days 00:54:00.000000000,0.0
