Flight Type,Fl No. Arrival,Origin,ETA,ATA,Fl No. Departures,Dest,ETD,ATD
Full,BA065,LHR,20:30,20:30,BA064,LHR,23:15,23:15
Full,EK719,DXB,14:30,14:50,EK720,DUB,16:40,17:02
Full,ET302,ADD,10:20,10:50,ET303,ADD,11:35,11:45
Arr,ET304,ADD,12:20,12:20,ET305,ADD,13:44,13:44
Park,ET304,ADD,13:50,13:50,ET305,ADD,15:59,16:12
Dep,ET304,ADD,16:05,16:18,ET305,ADD,17:35,17:48
Full,ET306,ADD,18:15,18:15,ET307,ADD,19:35,19:40
Arr,ET308,ADD,23:40,23:40,ET309,ADD,01:04,01:04
Park,ET308,ADD,01:10,01:10,ET309,ADD,04:24,04:29
Dep,ET308,ADD,04:30,04:35,ET309,ADD,06:00,06:05
Arr,ET308,ADD,23:45,23:45,ET309,ADD,01:09,01:09
Park,ET308,ADD,01:15,01:15,ET309,ADD,04:24,04:54
Dep,ET308,ADD,04:30,05:00,ET309,ADD,06:00,06:30
Full,EY641,AUH,12:47,13:15,EY642,AUH,13:40,14:10
Full,G9734,SHJ,13:06,13:51,G9735,SHJ,13:40,14:50
Full,KL565,AMS,20:25,20:35,KL566,AMS,22:25,22:35
Arr,KQ101,LHR,06:30,06:30,KQ310,DXB,07:54,07:54
Park,KQ101,LHR,08:00,08:00,KQ310,DXB,17:39,17:50
Dep,KQ101,LHR,17:45,17:56,KQ310,DXB,19:15,19:26
Full,KQ117,AMS,06:10,06:37,KQ116,AMS,08:35,08:46
Full,KQ205,BOM,10:30,10:43,KQ704,LUN,12:05,12:05
Full,KQ251,SEZ,18:25,19:20,KQ330,JED,21:30,21:38
Arr,KQ252,HAH,18:25,18:25,,,19:49,19:49
Park,KQ252,HAH,19:55,19:55,,,22:23,22:23
Dep,KQ252,HAH,22:29,22:29,,,23:59,23:59
Arr,KQ257,TNR,20:15,20:15,KQ536,ABV,21:39,21:39
Park,KQ257,TNR,21:45,21:45,KQ536,ABV,06:19,07:14
Dep,KQ257,TNR,06:25,07:20,KQ536,ABV,07:55,08:50
Full,KQ257,TNR,20:15,21:03,KQ708,HRE,23:00,23:00
Arr,KQ311,DXB,06:55,06:55,KQ554,FIH,08:19,08:19
Park,KQ311,DXB,08:25,08:25,KQ554,FIH,10:29,10:29
Dep,KQ311,DXB,10:35,10:35,KQ554,FIH,12:05,12:05
Full,KQ349,KRT,06:35,06:45,KQ402,JIB,08:15,08:15
Full,KQ351,JUB,12:10,11:50,KQ608,MBA,14:15,14:31
Full,KQ353,JUB,18:00,17:48,KQ624,MBA,22:55,22:55
Full,KQ403,ADD,17:30,17:31,KQ416,EBB,19:10,19:20
Full,KQ411,EBB,11:05,11:05,KQ412,EBB,12:00,12:12
Arr,KQ413,EBB,15:05,15:05,,,16:29,16:29
Park,KQ413,EBB,16:35,16:35,,,22:23,22:23
Dep,KQ413,EBB,22:29,22:29,,,23:59,23:59
Full,KQ415,EBB,19:25,19:45,KQ488,DAR,22:55,23:52
Full,KQ417,EBB,22:15,21:26,KQ466,KGL,23:20,23:30
Full,KQ419,EBB,06:35,06:21,KQ432,JRO,08:00,08:00
Arr,KQ433,JRO,10:45,10:45,KQ444,BJM,12:09,12:09
Park,KQ433,JRO,12:15,12:15,KQ444,BJM,14:34,14:34
Dep,KQ433,JRO,14:40,14:40,KQ444,BJM,16:10,16:10
Full,KQ437,JRO,22:00,22:03,,,23:59,23:59
Arr,KQ444,BJM,21:15,21:15,KQ650,KIS,22:39,22:39
Park,KQ444,BJM,22:45,22:45,KQ650,KIS,05:14,05:19
Dep,KQ444,BJM,05:20,05:25,KQ650,KIS,06:50,06:55
Full,KQ444,BJM,21:15,21:04,KQ498,ZNZ,23:00,23:00
Arr,KQ447,KGL,06:05,06:01,KQ748,APL,07:29,07:25
Park,KQ447,KGL,07:35,07:31,KQ748,APL,10:49,11:06
Dep,KQ447,KGL,10:55,11:12,KQ748,APL,12:25,12:42
Arr,KQ448,BJM,12:50,12:50,KQ486,DAR,14:14,14:14
Park,KQ448,BJM,14:20,14:20,KQ486,DAR,17:14,18:04
Dep,KQ448,BJM,17:20,18:10,KQ486,DAR,18:50,19:40
Full,KQ481,DAR,11:10,12:05,KQ586,NLA,12:30,13:20
Full,KQ483,DAR,15:30,15:45,KQ414,EBB,16:20,16:58
Arr,KQ485,DAR,19:20,19:20,KQ448,BJM,20:44,20:44
Park,KQ485,DAR,20:50,20:50,KQ448,BJM,06:09,06:09
Dep,KQ485,DAR,06:15,06:15,KQ448,BJM,07:45,07:45
Full,KQ485,DAR,19:20,18:34,KQ734,LUN,22:45,23:50
Arr,KQ487,DAR,22:15,22:15,KQ256,TNR,23:39,23:39
Park,KQ487,DAR,23:45,23:45,KQ256,TNR,11:09,12:22
Dep,KQ487,DAR,11:15,12:28,KQ256,TNR,12:45,13:58
Full,KQ487,DAR,22:15,21:57,,,23:59,23:59
Full,KQ489,DAR,06:40,06:34,KQ494,ZNZ,08:05,08:05
Full,KQ495,ZNZ,11:15,10:31,KQ482,DAR,12:05,12:17
Full,KQ509,ACC,06:10,06:08,KQ760,JNB,08:30,08:40
Full,KQ521,ABJ,06:20,06:39,KQ504,FNA,10:35,10:47
Full,KQ522,NSI,21:40,22:37,,,23:59,23:59
Arr,KQ524,DLA,18:20,18:20,KQ522,NSI,19:44,19:44
Park,KQ524,DLA,19:50,19:50,KQ522,NSI,09:44,09:54
Dep,KQ524,DLA,09:50,10:00,KQ522,NSI,11:20,11:30
Arr,KQ533,LOS,19:50,19:45,KQ542,COO,21:14,21:09
Park,KQ533,LOS,21:20,21:15,KQ542,COO,06:19,07:24
Dep,KQ533,LOS,06:25,07:30,KQ542,COO,07:55,09:00
Arr,KQ537,ABV,18:25,17:42,,,19:49,19:06
Park,KQ537,ABV,19:55,19:12,,,22:23,22:23
Dep,KQ537,ABV,22:29,22:29,,,23:59,23:59
Full,KQ542,LOS,21:00,21:22,,,23:59,23:59
Full,KQ555,FIH,20:25,19:52,KQ112,CDG,23:05,23:22
Arr,KQ584,FBM,20:05,20:05,KQ252,HAH,21:29,21:29
Park,KQ584,FBM,21:35,21:35,KQ252,HAH,09:54,09:54
Dep,KQ584,FBM,10:00,10:00,KQ252,HAH,11:30,11:30
Full,KQ586,NLA,20:05,20:00,,,23:59,23:59
Arr,KQ601,MBA,09:30,09:20,,,10:54,10:44
Park,KQ601,MBA,11:00,10:50,,,22:23,22:23
Dep,KQ601,MBA,22:29,22:29,,,23:59,23:59
Full,KQ603,MBA,11:10,11:00,KQ762,JNB,12:05,12:22
Full,KQ605,MBA,12:55,12:40,KQ352,JUB,13:40,13:58
Full,KQ607,MBA,15:35,15:35,KQ610,MBA,16:25,16:25
Full,KQ609,MBA,16:55,16:50,KQ616,MBA,18:50,18:50
Full,KQ611,MBA,19:05,19:15,KQ618,MBA,19:50,20:38
Arr,KQ617,MBA,21:30,21:20,KQ600,MBA,22:54,22:44
Park,KQ617,MBA,23:00,22:50,KQ600,MBA,05:14,05:24
Dep,KQ617,MBA,05:20,05:30,KQ600,MBA,06:50,07:00
Full,KQ617,MBA,21:30,21:40,KQ418,EBB,22:55,23:44
Arr,KQ619,MBA,22:40,22:40,KQ350,JUB,00:04,00:04
Park,KQ619,MBA,00:10,00:10,KQ350,JUB,06:14,06:14
Dep,KQ619,MBA,06:20,06:20,KQ350,JUB,07:50,07:50
Full,KQ625,MBA,06:15,06:10,KQ640,MYD,08:55,08:55
Full,KQ641,MYD,11:45,11:25,KQ606,MBA,12:55,13:25
Full,KQ651,KIS,09:10,08:58,KQ654,KIS,09:55,10:32
Full,KQ655,KIS,12:15,12:07,KQ656,KIS,13:05,13:05
Full,KQ657,KIS,15:25,15:13,KQ670,KIS,17:30,17:39
Arr,KQ671,KIS,19:50,19:08,KQ480,DAR,21:14,20:32
Park,KQ671,KIS,21:20,20:38,KQ480,DAR,06:09,06:09
Dep,KQ671,KIS,06:15,06:15,KQ480,DAR,07:45,07:45
Full,KQ671,KIS,19:50,19:01,,,23:59,23:59
Arr,KQ704,LUN,20:30,20:29,KQ250,SEZ,21:54,21:53
Park,KQ704,LUN,22:00,21:59,KQ250,SEZ,09:54,11:24
Dep,KQ704,LUN,10:00,11:30,KQ250,SEZ,11:30,13:00
Full,KQ704,LUN,20:30,20:48,KQ764,JNB,21:50,21:50
Full,KQ717,GBE,06:50,06:50,KQ730,LLW,08:15,08:15
Full,KQ720,HRE,06:50,07:14,KQ604,MBA,10:15,10:42
Full,KQ731,LLW,13:30,13:30,KQ484,DAR,15:55,15:55
Full,KQ749,APL,18:05,17:48,KQ436,JRO,19:20,19:49
Arr,KQ752,BLZ,19:45,19:45,KQ410,EBB,21:09,21:09
Park,KQ752,BLZ,21:15,21:15,KQ410,EBB,06:24,06:34
Dep,KQ752,BLZ,06:30,06:40,KQ410,EBB,08:00,08:10
Full,KQ761,JNB,17:40,17:43,KQ204,BOM,21:25,21:30
Full,KQ763,JNB,21:25,22:28,KQ304,DXB,22:30,22:58
Full,KQ765,JNB,06:55,07:17,KQ602,MBA,08:30,08:40
Full,KQ8603,MBA,12:25,12:20,KQ8606,MBA,14:00,14:00
Full,KQ8607,MBA,16:45,16:55,KQ8608,MBA,19:30,20:25
Arr,KQ8609,MBA,22:15,22:05,KQ8602,MBA,23:39,23:29
Park,KQ8609,MBA,23:45,23:35,KQ8602,MBA,08:04,08:04
Dep,KQ8609,MBA,08:10,08:10,KQ8602,MBA,09:40,09:40
Full,KQ8609,MBA,22:15,22:23,,,23:59,23:59
Full,KQ8651,KIS,08:30,08:44,KQ8690,UKU,09:10,09:34
Arr,KQ8655,KIS,20:00,19:59,KQ8650,KIS,21:24,21:23
Park,KQ8655,KIS,21:30,21:29,KQ8650,KIS,04:54,04:54
Dep,KQ8655,KIS,05:00,05:00,KQ8650,KIS,06:30,06:30
Full,KQ8655,KIS,20:00,19:05,,,23:59,23:59
Full,KQ8661,EDL,09:00,08:56,KQ8680,LAU,09:40,09:40
Arr,KQ8665,EDL,19:10,19:08,KQ8660,EDL,20:34,20:32
Park,KQ8665,EDL,20:40,20:38,KQ8660,EDL,05:24,05:43
Dep,KQ8665,EDL,05:30,05:49,KQ8660,EDL,07:00,07:19
Full,KQ8665,EDL,19:10,19:20,,,23:59,23:59
Full,KQ8681,MYD,13:30,13:30,KQ8654,KIS,18:00,18:00
Full,KQ8691,UKU,11:30,11:10,KQ8692,UKU,14:10,14:20
