Flight Type,Fl No.,Origin,ETA,ATA,Fl No.,Dest,ETD,ATD
Full,BA065,LHR,20:30,20:40,BA064,LHR,23:15,23:25
Full,EK719,DXB,14:30,14:30,EK720,DUB,16:40,16:40
Full,ET302,ADD,10:20,10:30,ET303,ADD,11:35,11:50
Arr,ET304,ADD,12:20,12:20,ET305,ADD,13:44,13:44
Park,ET304,ADD,13:50,13:50,ET305,ADD,15:59,17:04
Dep,ET304,ADD,16:05,17:10,ET305,ADD,17:35,18:40
Full,ET306,ADD,18:15,18:45,ET307,ADD,19:35,19:45
Arr,ET308,ADD,23:40,23:40,ET309,ADD,01:04,01:04
Park,ET308,ADD,01:10,01:10,ET309,ADD,04:24,04:39
Dep,ET308,ADD,04:30,04:45,ET309,ADD,06:00,06:15
Arr,ET308,ADD,23:45,23:45,ET309,ADD,01:09,01:09
Park,ET308,ADD,01:15,01:15,ET309,ADD,04:24,04:34
Dep,ET308,ADD,04:30,04:40,ET309,ADD,06:00,06:10
Full,EY641,AUH,12:47,12:36,EY642,AUH,13:40,13:40
Full,G9734,SHJ,13:06,14:01,G9735,SHJ,13:40,14:50
Full,KL565,AMS,20:25,20:30,KL566,AMS,22:25,22:30
Arr,KQ101,LHR,06:30,05:49,KQ310,DXB,07:54,07:13
Park,KQ101,LHR,08:00,07:19,KQ310,DXB,17:39,17:52
Dep,KQ101,LHR,17:45,17:58,KQ310,DXB,19:15,19:28
Full,KQ117,AMS,06:10,06:21,KQ116,AMS,08:35,08:46
Full,KQ205,BOM,10:30,11:34,KQ704,LUN,12:05,12:29
Full,KQ251,SEZ,18:25,19:28,KQ330,JED,21:30,21:39
Arr,KQ252,HAH,18:25,18:25,,,19:49,19:49
Park,KQ252,HAH,19:55,19:55,,,22:23,22:23
Dep,KQ252,HAH,22:29,22:29,,,23:59,23:59
Arr,KQ257,TNR,20:15,20:15,KQ536,ABV,21:39,21:39
Park,KQ257,TNR,21:45,21:45,KQ536,ABV,06:19,06:38
Dep,KQ257,TNR,06:25,06:44,KQ536,ABV,07:55,08:14
Full,KQ257,TNR,20:15,21:02,KQ708,HRE,23:00,23:21
Arr,KQ311,DXB,06:55,06:55,KQ554,FIH,08:19,08:19
Park,KQ311,DXB,08:25,08:25,KQ554,FIH,10:29,11:46
Dep,KQ311,DXB,10:35,11:52,KQ554,FIH,12:05,13:22
Full,KQ349,KRT,06:35,06:20,KQ402,JIB,08:15,08:29
Full,KQ351,JUB,12:10,12:25,KQ608,MBA,14:15,14:45
Full,KQ353,JUB,18:00,18:15,KQ624,MBA,22:55,00:04
Full,KQ403,ADD,17:30,16:16,KQ416,EBB,19:10,20:10
Full,KQ411,EBB,11:05,12:05,KQ412,EBB,12:00,13:00
Arr,KQ413,EBB,15:05,14:45,,,16:29,16:09
Park,KQ413,EBB,16:35,16:15,,,22:23,22:23
Dep,KQ413,EBB,22:29,22:29,,,23:59,23:59
Full,KQ415,EBB,19:25,18:32,KQ488,DAR,22:55,23:48
Full,KQ417,EBB,22:15,21:12,KQ466,KGL,23:20,23:31
Full,KQ419,EBB,06:35,05:29,KQ432,JRO,08:00,08:00
Arr,KQ433,JRO,10:45,10:45,KQ444,BJM,12:09,12:09
Park,KQ433,JRO,12:15,12:15,KQ444,BJM,14:34,14:54
Dep,KQ433,JRO,14:40,15:00,KQ444,BJM,16:10,16:30
Full,KQ437,JRO,22:00,21:10,,,23:59,23:59
Arr,KQ444,BJM,21:15,20:40,KQ650,KIS,22:39,22:04
Park,KQ444,BJM,22:45,22:10,KQ650,KIS,05:14,05:19
Dep,KQ444,BJM,05:20,05:25,KQ650,KIS,06:50,06:55
Full,KQ444,BJM,21:15,22:20,KQ498,ZNZ,23:00,23:14
Arr,KQ447,KGL,06:05,06:01,KQ748,APL,07:29,07:25
Park,KQ447,KGL,07:35,07:31,KQ748,APL,10:49,12:04
Dep,KQ447,KGL,10:55,12:10,KQ748,APL,12:25,13:40
Arr,KQ448,BJM,12:50,11:46,KQ486,DAR,14:14,13:10
Park,KQ448,BJM,14:20,13:16,KQ486,DAR,17:14,17:23
Dep,KQ448,BJM,17:20,17:29,KQ486,DAR,18:50,18:59
Full,KQ481,DAR,11:10,12:18,KQ586,NLA,12:30,13:10
Full,KQ483,DAR,15:30,15:48,KQ414,EBB,16:20,16:35
